PU_hour,avg(total_amount)
00,16.736841808215075
01,15.880248271331721
02,15.301278473309857
03,15.736390966153746
04,18.379491384522964
05,19.48804457953461
06,15.629140377624877
07,14.939202927058092
08,14.989115911184646
09,15.306234785549778
10,15.34209123647496
11,15.373694893178193
12,15.652875457633964
13,16.088982677426117
14,16.56753609701967
15,16.5464791737289
16,17.714068461327695
17,16.89607558088626
18,15.990437093759983
19,15.63394654778436
20,15.765093219075315
21,16.273895681770842
22,16.522464698409397
23,16.9128077560492
